region,state,region.key,state.name
central,IL,central,illinois
central,IN,central,indiana
central,KY,central,kentucky
central,MO,central,missouri
central,OH,central,ohio
central,TN,central,tennessee
central,WV,central,west virginia
NE central,IA,east north central,iowa
NE central,MI,east north central,michigan
NE central,MN,east north central,minnesota
NE central,WI,east north central,wisconsin
NE,CT,northeast,connecticut
NE,DE,northeast,delaware
NE,ME,northeast,maine
NE,MD,northeast,maryland
NE,MA,northeast,massachusetts
NE,NH,northeast,new hampshire
NE,NJ,northeast,new jersey
NE,NY,northeast,new york
NE,PA,northeast,pennsylvania
NE,RI,northeast,rhode island
NE,VT,northeast,vermont
NW,ID,northwest,idaho
NW,OR,northwest,oregon
NW,WA,northwest,washington
south,AR,south,arkansas
south,KS,south,kansas
south,LA,south,louisiana
south,MS,south,mississippi
south,OK,south,oklahoma
south,TX,south,texas
SE,AL,southeast,alabama
SE,FL,southeast,florida
SE,GA,southeast,georgia
SE,NC,southeast,north carolina
SE,SC,southeast,south carolina
SE,VA,southeast,virginia
SW,AZ,southwest,arizona
SW,CO,southwest,colorado
SW,NM,southwest,new mexico
SW,UT,southwest,utah
west,CA,west,california
west,NV,west,nevada
NW central,MT,west north central,montana
NW central,NE,west north central,nebraska
NW central,ND,west north central,north dakota
NW central,SD,west north central,south dakota
NW central,WY,westnorthcentral,wyoming
alaska,AK,alaska,alaska
hawaii,HI,hawaii,hawaii
