Full.Name,Genus,Species,Myco
Acer saccharum,Acer,saccharum,AM
Prunus virginiana,Prunus,virginiana,AM
Vitis,Vitis,sp,vine
Fagus grandifolia,Fagus,grandifolia,ECM
Liriodendron tulipifera,Liriodendron,tulipifera,AM
Sassafras albidum,Sassafras,albidum,AM
Carya glabra,Carya,glabra,ECM
Quercus velutina,Quercus,velutina,ECM
Quercus alba,Quercus,alba,ECM
Quercus rubra,Quercus,rubra,ECM
Ostrya virginiana,Ostrya,virginiana,ECM
Fraxinus americana,Fraxinus,americana,AM
Quercus velutina ,Quercus,velutina,ECM
Celtis occidentalis,Celtis,occidentalis,AM
Cornus florida,Cornus,florida,AM
Tilia americana,Tilia,americana,ECM
Acer rubrum,Acer,rubrum,AM
Amelanchier spp.,Amelanchier,spp.,AM
Robinia pseudoacacia,Robinia,pseudoacacia,Either
Asimina triloba,Asimina,triloba,AM
Ulmus rubra,Ulmus,rubra,AM
Carya cordiformis,Carya,cordiformis,ECM
Carya ovata,Carya,ovata,ECM
Juglans nigra,Juglans,nigra,AM
UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
Carpinus caroliniana,Carpinus,caroliniana,ECM
Platanus occidentalis,Platanus,occidentalis,AM
Ailanthus altissima,Ailanthus,altissima,AM
Acer nigra,Acer,nigra,AM
Carya sp,Carya,sp,ECM
Juglans cinerea,Juglans,cinerea,AM
Liquidambar styraciflua,Liquidambar,styraciflua,AM
Ligustrum sp,Ligustrum,sp,AM
Quercus nigra,Quercus,nigra,ECM
Ulmus sp,Ulmus,sp,AM
Halesia tetraptera,Halesia,tetraptera,AM
Ulmus alata,Ulmus,alata,AM
Quercus sp,Quercus,sp,ECM
Betula sp,Betula,sp,ECM
Pinus taeda,Pinus,taeda,ECM
Fraxinus sp,Fraxinus,sp,AM
Pinus sp,Pinus,sp,ECM
Alnus sp,Alnus,sp,Either
Cercis canadensis,Cercis,canadensis,AM
Juniperus virginiana,Juniperus,virginiana,AM
Morus sp,Morus,sp,AM
Ulmus sp.,Ulmus,sp.,AM
Malus sp,Malus,sp,AM
Cornus sp,Cornus,sp,AM
Prunus sp,Prunus,sp,AM
Acer floridanum,Acer,floridanum,AM
Quercus stellata,Quercus,stellata,ECM
Fraxinus pennsylvanica,Fraxinus,pennsylvanica,AM
Quercus falcata,Quercus,falcata,ECM
Quercus phellos,Quercus,phellos,ECM
Ulmus americana,Ulmus,americana,AM
Nyssa sylvatica,Nyssa,sylvatica,AM
Diospyros virginiana,Diospyros,virginiana,AM
Chionanthus virginicus,Chionanthus,virginicus,AM
Morus rubra,Morus,rubra,AM
Prunus serotina,Prunus,serotina,AM
Albizia julibrissin,Albizia,julibrissin,AM
Taxodium distichum,Taxodium,distichum,AM
Ilex decidua,Ilex,decidua,AM
Quercus michauxii,Quercus,michauxii,ECM
Celtis laevigata,Celtis,laevigata,AM
Quercus pagoda,Quercus,pagoda,ECM
Viburnum prunifolium,Viburnum,prunifolium,AM
Ilex opaca,Ilex,opaca,AM
Ligustrum sinense,Ligustrum,sinense,AM
Muscadinia rotundifolia,Vitis,rotundifola,vine
